"DataFlash Configuration Flag","Data Buffer Length"
8,7200
"Elapsed Time","FRONT","REAR","DIFF","TPS","RPM","Front Map","Rear Map"
22.073,4.39,2.99,0.12,0.0,1459,17.4,16.8
22.174,1.26,2.93,-0.01,0.0,1440,17.0,17.1
22.274,2.71,4.06,-0.06,0.0,1454,16.9,17.2
22.374,2.98,1.33,0.05,0.0,1398,17.3,17.0
22.475,2.71,2.17,0.15,0.0,1505,17.3,16.5
22.575,1.99,3.16,0.12,0.0,1531,17.5,16.8
22.675,2.03,2.68,-0.03,0.0,1523,16.7,16.8
22.776,2.93,1.32,0.02,0.0,1472,17.0,16.8
22.877,2.70,1.96,0.13,0.0,1442,17.2,16.5
22.976,2.95,2.76,0.11,0.0,1410,17.3,16.7
23.077,1.31,3.03,0.03,0.0,1458,17.3,17.1
23.178,2.28,2.73,-0.04,0.0,1422,16.9,17.2
23.277,3.05,1.66,0.01,0.0,1434,17.3,17.2
23.378,2.71,1.70,0.13,0.0,1456,17.4,16.7
23.478,2.93,2.72,0.11,0.0,1382,17.5,16.8
23.578,1.94,3.27,0.09,0.0,1415,17.7,17.2
23.679,1.53,2.81,-0.03,0.0,1406,17.1,17.3
23.780,3.00,3.21,-0.04,0.0,1459,17.3,17.5
23.879,2.75,1.23,0.12,0.0,1497,17.4,16.7
23.980,2.85,2.58,0.13,0.0,1382,17.4,16.6
24.079,2.04,3.24,0.10,0.0,1475,17.6,17.1
24.180,1.65,2.79,-0.04,0.0,1410,17.0,17.2
24.281,3.13,2.43,-0.04,0.0,1433,17.2,17.4
24.381,2.77,1.26,0.11,0.0,1461,17.4,16.8
24.481,2.83,2.50,0.12,0.0,1437,17.4,16.8
24.582,2.27,3.34,0.11,0.0,1404,17.6,17.0
24.682,1.73,2.73,-0.04,0.0,1478,16.9,17.1
24.783,3.10,2.42,-0.05,0.0,1423,17.1,17.4
24.883,2.76,1.27,0.11,0.0,1458,17.4,16.7
24.983,2.79,2.33,0.11,0.0,1389,17.4,16.8
25.084,4.27,3.17,0.11,0.0,1391,17.7,17.1
25.184,1.33,2.83,-0.04,0.0,1471,17.0,17.3
25.284,2.86,3.41,-0.06,0.5,1489,17.0,17.3
25.384,2.90,1.22,0.06,0.0,1391,17.2,16.9
25.485,2.73,2.32,0.12,0.0,1449,17.3,16.6
25.585,4.01,3.21,0.12,0.0,1426,17.5,16.9
25.685,1.29,3.01,0.00,0.0,1378,17.2,17.1
25.786,2.31,2.70,-0.04,0.0,1384,17.0,17.2
25.886,3.20,3.34,-0.04,0.0,1331,17.4,17.6
25.987,2.81,1.16,0.10,0.0,1470,17.7,17.1
26.087,2.79,2.45,0.13,0.7,1421,17.5,16.8
26.187,1.61,3.10,0.09,0.0,1517,17.5,17.0
26.287,2.18,2.70,-0.04,0.0,1514,16.8,17.0
26.388,2.83,1.14,0.05,0.0,1493,17.0,16.7
26.488,2.70,2.30,0.13,0.0,1469,17.1,16.3
26.589,2.91,3.32,0.12,0.0,1440,17.4,16.7
26.689,1.32,2.90,-0.01,0.0,1395,17.0,17.1
26.789,2.41,3.10,-0.03,0.0,1427,17.0,17.2
26.889,2.96,1.38,0.04,0.0,1423,17.3,17.1
26.990,2.74,1.57,0.12,0.0,1392,17.4,16.7
27.090,2.85,2.61,0.11,0.0,1393,17.4,16.8
27.191,1.92,3.24,0.09,0.0,1442,17.6,17.1
27.290,1.43,2.87,-0.02,0.0,1380,17.2,17.3
27.391,2.94,3.19,-0.04,0.0,1484,17.2,17.5
27.492,2.83,1.18,0.09,0.0,1420,17.3,16.8
27.591,2.74,2.32,0.13,0.0,1403,17.4,16.6
27.692,2.46,3.26,0.11,0.0,1486,17.6,17.0
27.793,1.57,2.78,-0.04,0.0,1424,16.9,17.1
27.892,2.97,1.72,-0.02,0.0,1509,17.0,17.1
27.993,2.65,1.89,0.13,0.0,1499,17.1,16.4
28.094,3.57,2.83,0.11,0.0,1448,17.2,16.6
28.193,1.33,3.08,0.02,0.0,1408,17.1,17.0
28.294,2.27,2.70,-0.05,0.0,1428,16.8,17.1
28.395,2.92,1.29,0.02,0.0,1481,17.2,17.2
28.494,2.72,1.86,0.11,0.0,1428,17.3,16.7
28.595,2.91,2.67,0.10,0.0,1317,17.5,17.0
28.696,3.16,3.40,0.10,0.0,1398,17.8,17.3
28.795,1.40,2.81,-0.04,0.0,1440,17.1,17.3
28.896,3.05,2.43,-0.05,0.0,1464,17.1,17.3
28.997,2.69,1.47,0.13,0.0,1496,17.2,16.5
29.096,2.85,2.59,0.12,0.0,1439,17.3,16.6
29.197,1.68,3.21,0.08,0.0,1425,17.5,17.0
29.397,2.95,1.45,0.01,0.0,1460,17.1,17.1
29.498,2.74,1.70,0.12,0.0,1415,17.3,16.6
29.599,2.85,2.53,0.10,0.0,1327,17.5,17.0
29.699,2.47,3.31,0.09,0.0,1484,17.8,17.3
29.799,1.76,2.73,-0.05,0.0,1445,17.0,17.3
29.900,2.95,1.44,-0.01,0.0,1482,17.1,17.1
29.999,2.67,1.91,0.12,0.0,1483,17.2,16.5
30.100,2.97,2.77,0.10,0.0,1439,17.3,16.8
30.201,1.76,3.31,0.06,0.0,1356,17.5,17.2
30.301,1.56,2.79,-0.04,0.0,1407,17.1,17.3
30.401,2.50,3.00,-0.03,0.0,1343,17.3,17.5
30.501,2.97,1.40,0.03,0.0,1473,17.7,17.5
30.602,2.69,2.19,0.15,0.0,1525,17.5,16.7
30.702,2.47,3.28,0.13,0.0,1476,17.6,16.8
30.802,1.81,2.69,-0.03,0.0,1490,16.8,17.0
30.903,2.89,1.38,0.00,0.0,1509,17.0,17.0
31.003,2.71,1.83,0.12,0.0,1433,17.1,16.5
31.103,2.87,2.62,0.10,0.0,1389,17.4,16.8
31.204,3.48,3.45,0.10,0.0,1349,17.8,17.2
31.304,1.31,2.93,-0.02,0.0,1396,17.3,17.4
31.404,2.31,2.74,-0.04,0.0,1383,17.2,17.4
31.505,3.05,1.62,0.01,0.0,1434,17.5,17.4
31.605,2.73,1.54,0.13,0.0,1428,17.5,16.9
31.705,2.83,2.47,0.11,0.0,1337,17.6,17.0
31.806,3.95,3.29,0.10,0.0,1399,17.8,17.2
31.906,1.30,2.96,-0.02,0.0,1407,17.3,17.4
32.006,2.22,2.74,-0.04,0.0,1397,17.2,17.4
32.107,3.11,1.99,-0.02,0.0,1407,17.4,17.5
32.208,2.77,1.34,0.11,0.0,1425,17.5,16.9
32.307,2.81,2.46,0.11,0.0,1360,17.5,16.9
32.408,3.98,3.27,0.11,0.0,1398,17.8,17.2
32.508,1.30,2.88,-0.03,0.0,1427,17.1,17.3
32.609,2.79,3.90,-0.06,0.0,1440,17.0,17.3
32.709,2.84,1.17,0.08,0.0,1442,17.3,16.8
32.809,2.71,2.05,0.12,0.0,1393,17.4,16.7
32.909,2.90,2.60,0.09,0.3,1325,17.7,17.2
33.010,2.10,3.28,0.08,0.0,1466,17.9,17.4
33.111,1.96,2.70,-0.05,0.0,1508,17.0,17.3
33.210,3.00,1.72,-0.02,0.0,1454,17.2,17.3
33.311,2.67,1.88,0.13,0.0,1494,17.2,16.5
33.412,3.15,2.78,0.11,0.0,1475,17.4,16.8
33.511,1.41,3.12,0.03,0.0,1419,17.3,17.1
33.612,2.07,2.74,-0.04,0.0,1444,17.0,17.3
33.712,3.05,1.86,-0.02,0.0,1446,17.2,17.4
33.812,2.89,1.23,0.07,0.0,1352,17.5,17.1
33.913,2.78,2.36,0.11,0.0,1404,17.6,17.0
34.013,4.18,3.17,0.11,0.0,1401,17.7,17.1
34.114,1.29,2.97,-0.02,0.0,1417,17.2,17.3
34.214,2.42,3.31,-0.05,0.0,1461,17.1,17.4
34.314,2.92,1.25,0.06,0.0,1457,17.3,17.0
34.415,2.70,2.23,0.14,0.0,1490,17.3,16.6
34.515,3.79,3.00,0.11,0.0,1359,17.5,16.9
34.615,2.35,3.46,0.06,0.0,1303,17.7,17.4
34.715,1.55,2.79,-0.06,0.0,1426,17.1,17.5
34.816,3.06,2.55,-0.06,0.0,1475,17.3,17.6
34.916,2.78,1.21,0.09,0.0,1445,17.4,16.9
35.016,2.79,2.44,0.11,0.0,1379,17.4,16.8
35.117,3.09,3.38,0.11,0.0,1434,17.7,17.1
35.217,1.31,3.06,-0.01,0.0,1355,17.4,17.4
35.418,2.87,1.22,0.04,0.0,1482,17.3,17.1
35.518,2.67,2.17,0.13,0.0,1485,17.3,16.5
35.619,3.63,3.29,0.13,0.0,1420,17.4,16.7
35.719,1.42,2.76,-0.04,0.0,1480,16.8,17.0
35.819,2.40,2.80,-0.03,0.0,1332,17.0,17.2
35.919,3.01,1.52,0.02,0.0,1448,17.4,17.3
36.020,2.71,1.60,0.12,0.0,1409,17.5,16.8
36.120,2.91,2.72,0.11,0.0,1409,17.4,16.8
36.221,1.27,2.97,0.03,0.0,1491,17.3,17.1
36.321,2.40,3.49,-0.04,0.0,1478,16.8,17.1
36.421,2.75,1.15,0.10,0.0,1524,17.0,16.5
36.522,2.72,2.35,0.12,0.0,1451,17.1,16.5
36.623,2.84,3.34,0.12,0.0,1419,17.4,16.8
36.722,1.53,2.73,-0.04,0.0,1479,16.7,17.0
36.823,3.02,3.28,-0.06,0.0,1423,17.0,17.3
36.922,2.70,1.25,0.11,0.0,1511,17.2,16.6
37.023,2.83,2.62,0.12,0.0,1457,17.2,16.5
37.124,1.27,2.96,0.04,0.0,1494,17.1,16.9
37.224,2.35,3.01,-0.03,0.0,1461,16.8,16.9
37.324,2.88,1.23,0.05,0.0,1460,17.1,16.8
37.425,2.66,2.14,0.14,0.0,1468,17.2,16.4
37.524,4.26,2.94,0.11,0.0,1447,17.3,16.7
37.625,1.29,3.06,0.00,0.0,1379,17.1,17.1
37.825,2.83,1.15,0.06,0.0,1461,17.1,16.8
37.926,2.74,2.44,0.13,0.0,1531,17.2,16.5
38.027,1.61,3.13,0.09,0.0,1445,17.2,16.8
38.127,2.16,2.63,-0.04,0.0,1497,16.6,16.8
38.227,2.81,1.18,0.03,0.0,1502,16.9,16.8
38.328,2.66,2.29,0.12,0.0,1430,16.9,16.3
38.428,4.31,3.07,0.10,0.0,1399,17.2,16.7
38.528,1.30,2.89,-0.03,0.0,1438,16.8,17.0
38.629,2.68,3.85,-0.07,0.0,1518,16.8,17.1
38.728,2.83,1.16,0.06,0.0,1422,17.0,16.7
38.829,2.65,2.29,0.12,0.0,1438,17.0,16.3
38.930,2.12,3.18,0.10,0.0,1491,17.2,16.6
39.030,1.56,2.69,-0.04,0.0,1431,16.6,16.8
39.131,3.00,2.10,-0.04,0.0,1447,16.7,17.0
39.231,2.63,1.40,0.11,0.0,1461,16.9,16.3
39.331,2.72,2.47,0.10,0.0,1400,17.0,16.4
39.432,2.55,3.27,0.09,0.0,1403,17.2,16.7
39.532,1.53,2.66,-0.05,0.0,1453,16.5,16.8
39.632,2.81,3.70,-0.06,0.0,1416,16.7,17.0
39.732,2.78,1.17,0.06,0.0,1414,16.9,16.6
39.833,2.57,1.95,0.10,0.0,1393,16.9,16.4
39.933,2.76,2.60,0.08,0.0,1366,17.0,16.5
40.033,2.86,3.36,0.08,0.0,1359,17.3,16.9
40.133,1.28,2.93,-0.02,0.0,1358,17.0,17.1
40.234,2.24,2.68,-0.05,0.0,1426,16.8,17.0
40.334,2.87,1.36,0.01,0.0,1444,16.9,16.9
40.434,2.56,1.72,0.10,0.0,1440,16.9,16.3
40.535,2.74,2.55,0.08,0.0,1379,16.9,16.5
40.636,2.95,3.36,0.09,0.0,1352,17.2,16.7
40.735,1.29,2.82,-0.03,0.0,1396,16.8,16.9
40.836,2.25,2.68,-0.05,0.0,1423,16.7,17.0
40.937,2.96,1.64,-0.01,0.0,1400,16.9,16.9
41.036,2.88,1.26,0.03,0.0,1303,17.1,16.9
41.137,2.63,1.89,0.08,0.0,1375,17.2,16.8
41.237,2.76,2.53,0.07,0.4,1314,17.3,16.9
41.337,3.89,3.23,0.07,0.0,1388,17.5,17.1
41.438,1.44,3.11,0.00,0.0,1324,17.2,17.2
41.539,1.68,2.70,-0.06,0.0,1352,16.9,17.2
41.638,2.53,3.58,-0.04,0.0,1320,17.0,17.2
41.739,3.08,1.98,0.00,0.0,1365,17.3,17.3
41.840,2.71,1.24,0.09,0.0,1395,17.3,16.8
41.940,2.63,2.21,0.09,0.0,1386,17.2,16.7
42.040,3.95,2.88,0.08,0.0,1399,17.3,16.8
42.141,1.35,3.03,-0.01,0.0,1384,17.0,17.1
42.240,1.92,2.62,-0.06,0.0,1393,16.7,17.0
42.341,2.98,2.00,-0.05,0.0,1435,16.8,17.1
42.442,2.67,1.24,0.07,0.0,1405,16.9,16.5
42.541,2.64,2.31,0.09,0.0,1381,17.0,16.5
42.642,4.11,3.10,0.09,0.0,1392,17.2,16.7
42.743,1.27,2.93,-0.02,0.0,1388,16.8,16.9
42.843,2.20,2.65,-0.06,0.0,1457,16.6,16.9
42.943,3.02,1.80,-0.03,0.0,1386,16.8,17.0
43.044,2.74,1.25,0.07,0.0,1373,17.0,16.7
43.143,2.63,2.17,0.08,0.0,1387,17.1,16.7
43.244,2.94,2.77,0.06,0.0,1381,17.2,16.9
43.344,2.81,3.43,0.05,0.0,1314,17.4,17.1
43.445,1.32,2.81,-0.06,0.0,1390,16.9,17.2
43.545,2.49,3.85,-0.06,0.0,1432,16.8,17.2
43.645,2.88,1.30,0.03,0.0,1425,17.0,16.8
43.746,2.56,2.01,0.12,0.0,1466,17.0,16.3
43.846,2.87,2.75,0.08,0.0,1355,17.0,16.6
43.946,1.52,3.09,0.03,0.0,1421,17.1,16.9
44.047,1.68,2.64,-0.05,0.0,1381,16.6,16.9
44.147,2.97,3.14,-0.06,0.0,1404,16.8,17.1
44.247,2.70,1.14,0.07,0.0,1446,16.9,16.5
44.348,2.58,2.26,0.10,0.0,1413,16.9,16.3
44.448,3.98,3.12,0.10,0.0,1400,17.1,16.5
44.548,1.39,3.06,0.01,0.0,1345,16.9,16.8
44.649,1.96,2.58,-0.06,0.0,1410,16.5,16.8
44.749,2.94,3.63,-0.07,0.0,1363,16.8,17.2
